,Top candidates
Impact on Diets,"Ambient Bakery Products, Eggs and Butter, Biscuits, Take Home Confectionery, Take Home Savouries"
Feasibility,"Chilled Bakery Products, Ambient Bakery Products, Pickle+Tbl Sce+Condiment, Savoury Home Cooking, Savoury Carbohydrts+Sncks"
Inclusion,"Biscuits, Ambient Bakery Products, Take Home Soft Drinks, Sweet Home Cooking, Chilled Convenience"
Average,"Ambient Bakery Products, Biscuits, Sweet Home Cooking, Eggs and Butter, Chilled Convenience"
