,Detailed recommendations
Ambient Cakes+Pastries,"Ambient Cakes Small Cakes, Ambient Cakes Large Whole Cake, Ambient Cakes+Past Mince Pies, Ambient Cakes Slices, Ambient Cakes Malt/Fruit Loave"
Morning Goods,"Crumpets/Pikelets, Hotcross Buns, Croissants, Scones, Morning Goods Pain Au Choc"
Chocolate Confectionery,"Chocolate Conf Multipack Choco, Choc Confctnry Block Chocolate, Choc Confctnry Boxes+Gifting, Chocolate Confection Bitesize, Chclte Conf Egg+Nvlty+Seasonal"
Chilled Cakes,"Chilled Cakes Small Cakes, Chilled Cakes Small Tarts, Chilled Cakes Cheesecake, Chilled Cakes Large Tarts, Chilled Cakes Large Pies"
Dry Pulses+Cereal,Dry Pulses+Cereal
